source_row,asset_code,name,model
2,65642,TECLADO HP,TECLADO ALFANUMERICO
3,65647,TECLADO HP,TECLADO ALFA NUMERICO
4,65662,COMPUTADOR DE ESCRITORIO HP 6300 i7/1TB/8GB,CPU CORE i7
5,65663,COMPUTADOR DE ESCRITORIO HP 6300 i7/1TB/8GB,CPU CORE i7
6,65672,"MONITOR HP 18.5"" LED LV1911","MONITOR 18.5"" LED"
7,65688,"MONITOR HP 18.5"" LED LV1911","MONITOR 18.5"" LCD"
8,65689,"MONITOR HP 18.5"" LED LV1911","MONITOR 18.5"" LED"
9,65910,TECLADO HP,TECLADO ALFANUMERICO
10,65924,CPU HP i7/500GB/8GB/PRO,CPU CORE i7
11,94214,BATERIA ACUMULADORA PARA PANEL SOLAR,BATERIA ACUMULADORA PARA PANEL SOLAR
12,94216,PANEL SOLAR POLICRISTAL,PANEL SOLAR POLICRISTAL
13,97570,BIENES SUJETOS A CONTROL/SPLITTER/CONTROL DE CARGA 20AMP 12/24V,CONTROL DE CARGA 20AMP 12/24V
14,99458,MUEBLES DE OFICINA/ESTACION DE TRABAJO/MIXTO/ESTACION DE TRABAJO 150x150,ESTACION DE TRABAJO 150x150
15,101681,BIENES SUJETOS A CONTROL/INTERCOMUNICADOR/PROGRAMADOR PICKIT3,MICROCHIP
16,531496,"EQUIPO DE INGENIERIA Y ARQUITECTURA/GPS/GPS GNSS MARCA SPECTRA/ASHTECH MODELO PROMARK 120 DE UNA FRECUENCIA PARA APLICACIONES GIS Y GEODESICAS MAS SUS ACCSESORIOS:MALETA DE TRANSPORTE,BATERIA INTERNA,MEMORIA DE 4GB,MEMORIA DE 8GB,LAPIZ OPTICO,BASE PARA TRANSFERENCIA DE DATOS,CABLE ANTENA,ANTENA ASTECH,ADAPTADOR,FLEXOMETRO,CABLE USB,BRAKET,SOPORTE GPS,ADAPTADOR ANTENA-VABLE,EXTENSION PARA ANTENA,BASTON FIJO,TRIPODE PARA BASTON,Y TRES CD",PROMARK 120
17,2263470,TELEFONO CISCO MODELO 6921,CP-6921
18,2593253,SILLA GIRATORIA SEMIEJECUTIVA CON BRAZOS,SILLA GIRATORIA SEMIEJECUTIVA CON BRAZOS
19,2593254,SILLA GIRATORIA SEMIEJECUTIVA CON BRAZOS,SILLA GIRATORIA SEMIEJECUTIVA CON BRAZOS
20,2593255,SILLA GIRATORIA SEMIEJECUTIVA CON BRAZOS,SILLA GIRATORIA SEMIEJECUTIVA CON BRAZOS
21,2593260,SILLA GIRATORIA SEMIEJECUTIVA CON BRAZOS,SILLA GIRATORIA SEMIEJECUTIVA CON BRAZOS
22,2593278,ESTACION DE TRABAJO MELAMINICO 150x150x60,ESTACION DE TRABAJO MELAMINICO 150x150x60
23,2593279,ESTACION DE TRABAJO MELAMINICO 150x150x60,ESTACION DE TRABAJO MELAMINICO 150x150x60
24,2593291,SILLA GIRATORIA SEMIEJECUTIVA CON BRAZOS,SILLA GIRATORIA SEMIEJECUTIVA CON BRAZOS
25,2684862,PROYECTOR EPSON POWERLITE S18+,
26,3183524,CHIPKIT BASIC I/O SHIELD,CHIPKIT BASIC I/O SHIELD
27,3183525,CHIPKIT BASIC I/O SHIELD,CHIPKIT BASIC I/O SHIELD
28,3183526,CHIPKIT BASIC I/O SHIELD,CHIPKIT BASIC I/O SHIELD
29,3183529,CHIPKIT MOTOR SHIELD,CHIPKIT MOTOR SHIELD
30,3183530,CHIPKIT MOTOR SHIELD,CHIPKIT MOTOR SHIELD
31,3183531,CHIPKIT MOTOR SHIELD,CHIPKIT MOTOR SHIELD
32,3183532,CHIPKIT MOTOR SHIELD,CHIPKIT MOTOR SHIELD
33,3183533,CHIPKIT MOTOR SHIELD,CHIPKIT MOTOR SHIELD
34,3183534,CHIPKIT UC32,CHIPKIT UC32
35,3183535,CHIPKIT UC32,CHIPKIT UC32
36,3183536,CHIPKIT UC32,CHIPKIT UC32
37,3183537,CHIPKIT UC32,CHIPKIT UC32
38,3183538,CHIPKIT UC32,CHIPKIT UC32
39,3183539,CHIPKIT UC32,CHIPKIT UC32
40,3183540,PICKIT 3,PICKIT 3
41,3183541,PICKIT 3,PICKIT 3
42,3183542,PICKIT 3,PICKIT 3
43,3183543,PICKIT 3,PICKIT 3
44,3183544,PICKIT 3,PICKIT 3
45,3183545,PICKIT 3,PICKIT 3
46,3183547,MPLAG ICD3,MPLAG ICD3
47,3183548,MPLAG ICD3,MPLAG ICD3
48,3183549,MPLAG ICD3,MPLAG ICD3
49,3183550,MPLAG ICD3,MPLAG ICD3
50,3183551,MPLAG ICD3,MPLAG ICD3
51,3183552,MPLAG ICD3,MPLAG ICD3
52,3183555,SISTEMA DE ENSEÑANZA PARA ELECTRONICA DE POTENCIA CONTIENE VARIOS COMPENENTES QUE SE ENCUENTRAN DETALLADOS EN LA ACTA ENTREGA RECEPCION CON FECHA 25 DE NOVIEMBRE DEL 2014,SISTEMA DE ENSEÑANZA PARA ELECTRONICA DE POTENCIA PE-5000
53,3183560,PROGRAMADOR UNIVERSAL SUPERPRO M,PROGRAMADOR UNIVERSAL SUPERPRO M
54,3183561,PROGRAMADOR UNIVERSAL SUPERPRO M,PROGRAMADOR UNIVERSAL SUPERPRO M
55,3188965,MOTOR SCHRAGE,MOTOR SCHRAGE DL2131
56,3188969,FILTROS ACTIVOS,FILTROS ACTIVOS DL2155FIL
57,3188972,BASE UNIVERSAL,BASE UNIVERSAL DL1158
58,3188976,CONTROL DE VELOCIDAD DE LOS MOTORES C.A.,CONTROL DE VELOCIDAD DE LOS MOTORES C.A. DL3309
59,3188977,MODULO DE ALIMENTACION CC +/-5V Y +/-15 V 1A,MODULO DE ALIMENTACION CC +/-5V Y +/-15 V 1A DL2555ALG
60,3188978,MODULO DE ALIMENTACION CC +/-5V Y +/-15 V 1A,MODULO DE ALIMENTACION CC +/-5V Y +/-15 V 1A DL2555ALG
61,3188981,LINEAS DE TRANSMISION,LINEAS DE TRANSMISION DL2597
