code,name,description,category,item_type,track_individual,stock_total,stock_available,status,location
EQ-0001,ALCANCES DE MEDICION.2 DE CADA UNA.VARIAS CARACTERISTICAS.,ALCANCES DE MEDICION.2 DE CADA UNA.VARIAS CARACTERISTICAS. | Modelo: S/M,MEDICION,equipment,TRUE,80,80,active,Laboratorio
EQ-0002,BOTON DE CONTACTO C/W.2 BOTONES DE CONTACTO CON CONTACTO N.C.Y 2 LUCES PILTOS 120V. AC/DC,BOTON DE CONTACTO C/W.2 BOTONES DE CONTACTO CON CONTACTO N.C.Y 2 LUCES PILTOS 120V. AC/DC | Modelo: S/M,BOTON DE CONTACTO C,equipment,TRUE,1,1,active,Laboratorio
EQ-0003,BOTON DE CONTACTO C/W.2 BOTONES DE CONTACTOCON CONTACTO N.C.Y 2 LUCES PILTOS 120V. AC/DC,BOTON DE CONTACTO C/W.2 BOTONES DE CONTACTOCON CONTACTO N.C.Y 2 LUCES PILTOS 120V. AC/DC | Modelo: S/M,BOTON DE CONTACTO C,equipment,TRUE,1,1,active,Laboratorio
EQ-0004,CAJA PARA MEDICION DE POTENCIA.,CAJA PARA MEDICION DE POTENCIA. | Modelo: S/M,MEDICION,equipment,TRUE,2,2,active,Laboratorio
EQ-0005,CAJAS DE CAPACIDADES 06193.00,CAJAS DE CAPACIDADES 06193.00 | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,2,2,active,Laboratorio
EQ-0006,CAJAS DE RESISTENCIAS 06191.00,CAJAS DE RESISTENCIAS 06191.00 | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,3,3,active,Laboratorio
EQ-0007,CAPACITOR DE CARGA MODELO CB NO.823210,CAPACITOR DE CARGA MODELO CB NO.823210,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0008,CAPACITOR DE CARGA MODELO CB NO.866640,CAPACITOR DE CARGA MODELO CB NO.866640,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0009,CAPACITOR DE CARGA MODELO CB NO.866642,CAPACITOR DE CARGA MODELO CB NO.866642,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0010,CAPACITOR DE CHOQUE MODELO GS 25 NO.899393,CAPACITOR DE CHOQUE MODELO GS 25 NO.899393,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0011,CAPACITOR DE CHOQUE MODELO GS 25 NO.899394,CAPACITOR DE CHOQUE MODELO GS 25 NO.899394,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0012,CAPACITOR DE CHOQUE MODELO GS 25 NO.899396,CAPACITOR DE CHOQUE MODELO GS 25 NO.899396,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0013,CAPACITOR DE CHOQUE MODELO GS 25 NO.899400,CAPACITOR DE CHOQUE MODELO GS 25 NO.899400,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0014,CAPACITOR DE CHOQUE MODELO GS 25 NO.899401,CAPACITOR DE CHOQUE MODELO GS 25 NO.899401,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0015,CAPACITOR DE MEDIDA MODELO CM NO.913308,CAPACITOR DE MEDIDA MODELO CM NO.913308,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0016,CAPACITOR DE MEDIDA MODELO CM NO.913310,CAPACITOR DE MEDIDA MODELO CM NO.913310,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0017,CAPACITOR DE MEDIDA MODELO CM NO.913311,CAPACITOR DE MEDIDA MODELO CM NO.913311,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0018,CHIPKIT BASIC I/O SHIELD,CHIPKIT BASIC I/O SHIELD,CHIPKIT BASIC I,equipment,TRUE,3,3,active,Laboratorio
EQ-0019,CHIPKIT MOTOR SHIELD,CHIPKIT MOTOR SHIELD,BIEN INSTITUCIONAL,equipment,TRUE,5,5,active,Laboratorio
EQ-0020,CHIPKIT UC32,CHIPKIT UC32,BIEN INSTITUCIONAL,equipment,TRUE,6,6,active,Laboratorio
EQ-0021,CHUPADOR DE SOLDADURA,CHUPADOR DE SOLDADURA | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
