item_code,asset_code,old_code,serial_code,model,brand,entry_date,assignment_date,condition,availability_status,notes
EQ-0208,65642,,BDAEV0Q5Y5B006,TECLADO ALFANUMERICO,HP,2014-03-24,2016-08-05,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0208,65647,,BDAEV0Q5Y5B431,TECLADO ALFA NUMERICO,HP,2014-03-24,2017-09-04,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0227,65662,,MXL3472MJR,CPU CORE i7,HP,2014-03-26,2017-09-04,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0227,65663,,MXL3472MJS,CPU CORE i7,HP,2014-03-26,2016-08-08,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0289,65672,,6CM3361YMN,"MONITOR 18.5"" LED",HP,2014-03-26,2016-08-08,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0289,65688,,6CM3361XP2,"MONITOR 18.5"" LCD",HP,2014-03-26,2017-09-04,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0289,65689,,6CM3060KS2,"MONITOR 18.5"" LED",HP,2014-03-26,2017-09-04,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0208,65910,,BDAEV0Q5Y5B45R,TECLADO ALFANUMERICO,HP,2014-03-27,2017-09-04,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0233,65924,,MXL3472ML6,CPU CORE i7,HP,2014-03-27,2017-09-04,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0338,94214,,94214,BATERIA ACUMULADORA PARA PANEL SOLAR,,2014-04-09,2016-08-08,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0522,94216,,94216,PANEL SOLAR POLICRISTAL,,2014-04-09,2016-08-08,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0201,97570,,CMI20-2.1,CONTROL DE CARGA 20AMP 12/24V,PHOCOS,2014-04-17,2016-08-05,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0665,99458,,99458,ESTACION DE TRABAJO 150x150,,,,good,available,Inventario oficial 2026-06-09; asignación: grupo_nuevo_firma_exacta
EQ-0666,101681,,101681,MICROCHIP,,,,good,available,Inventario oficial 2026-06-09; asignación: grupo_nuevo_firma_exacta
EQ-0667,531496,,531496,PROMARK 120,SPECTRA,,,good,available,Inventario oficial 2026-06-09; asignación: grupo_nuevo_firma_exacta
EQ-0668,2263470,,2263470,CP-6921,,,,good,available,Inventario oficial 2026-06-09; asignación: grupo_nuevo_firma_exacta
EQ-0199,2593253,,2593253,SILLA GIRATORIA SEMIEJECUTIVA CON BRAZOS,ARQMOVE,2014-11-25,2017-09-04,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0199,2593254,,2593254,SILLA GIRATORIA SEMIEJECUTIVA CON BRAZOS,ARQMOVE,2014-11-25,2017-09-04,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0199,2593255,,2593255,SILLA GIRATORIA SEMIEJECUTIVA CON BRAZOS,ARQMOVE,2014-11-25,2016-08-05,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0199,2593260,,2593260,SILLA GIRATORIA SEMIEJECUTIVA CON BRAZOS,ARQMOVE,2014-11-25,2016-11-16,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0621,2593278,,2593278,ESTACION DE TRABAJO MELAMINICO 150x150x60,ARQMOVE,2014-11-25,2017-09-04,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
