review_type,item_code,asset_code,name,model,detail
variantes_en_grupo,EQ-0001,,ALCANCES DE MEDICION.2 DE CADA UNA.VARIAS CARACTERISTICAS.,S/M,2 nombres; 1 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0092,,BOBINA PARA PRUEBA PARA EL FLUXOMETRO-TYPE 1,92288,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0095,,BIENES SUJETOS A CONTROL/CASCO/CASCO DE PROTECCION DE PLASTICO COLOR BLANCO NORTH,102039,1 nombres; 3 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0104,,SUPRESOR DE PICOS MARCA NIPPON AMERICA MODELO 14-514 DE 6 TOMAS,14-514,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0156,,BIENES SUJETOS A CONTROL/MOTORES/MOTOR TRIFASICO/MOTOR TRIFASICO MODELO DE AUTO TRANSFORMADOR DE ARRANQUE 208V 60HZ.28-665,92232,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0175,,BIENES SUJETOS A CONTROL/PANTALLA PARA PROYECTOR/PANTALLA DE PROYECCION DE 180CM X 180CM,92437,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0177,,BIENES SUJETOS A CONTROL/PAPELERA/MADERA/PAPELERA DE CEDRO DE 2 BANDEJAS DE:29X37X35 CM.DE ALTO COLOR CAFE CLARO,376998,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0186,,BASES DE RESISTENCIA 06143.00,451701,1 nombres; 19 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0188,,BIENES SUJETOS A CONTROL/PIZARRA/PIZARRON PORCELANIZADO PARA TIZA LIQUIDA DE:122X244 CM.,296146,1 nombres; 4 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0190,,PORTA CPU METALICO COLOR PLOMO CON GARRUCHAS,306429,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0195,,SILLA APILABLE MODELO MILANO SIN BRAZOS ESTRUCTURA DE TUBO REDONDO ASIENTO Y ESPALDAR TAPIZADO EN YUTE LACRE,93005,1 nombres; 28 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0196,,SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,272332,1 nombres; 18 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0197,,SILLA MILANO SIN BRAZOS ESTRUCTURA DE TUBO REDONDO ASIENTO Y ESPALDAR TAPIZADO EN YUTE LACRE,102174,1 nombres; 4 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0198,,SILLA SATURNO CON BRAZOS ESTRUCTURA DE TUBO REDONDO ASIENTO Y ESPALDAR TAPIZADO EN YUTE LACRE,102175,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0202,,TABURETE ESTRUCTURA METALICA COLOR GRIS ASIENTO TAPIZADO EN CUERINA NEGRA DE: 65 CM DE ALTO,306646,1 nombres; 12 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0208,,TECLADO HP,TECLADO ALFANUMERICO,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0277,,MODULO TRANSFORMADOR NO 28-275,28-276,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0278,,MODULO TRANSFORMADOR NO 28-276,S/M,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0289,,"MONITOR HP 18.5"" LED LV1911","MONITOR 18.5"" LED",1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0318,,BANCO DE PRUEBAS PARA ALTERNADORES Y MOTORES DC DL 2011 Y,DL2011,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0340,,EQUIPOS DE LABORATORIO; CIENCIA; OBSERVACION Y COMPROBACION/AMPERIMETRO/INSTRUMENTO DE MEDIDA A BOBINA MOVIL-GOSEEN P244,P244,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0352,,BANCO PARA LABORATORIO DE MEDIDAS ELECTRICAS-CON LOS SIGUIENTES ELEM:5 FUENTES DE CORRIENTE:ALTERNA TRIFASICA FIJA-VARIABLE POR FASES-ALTERNA MONOFASICA FIJA-ALTERNA MONOFASICA VARIABLE-CONTINUA VARIABLE Y UNA MESA DE TRABAJO CON DOS BANCOS,98912,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0354,,BASAMENTO UNIVERSAL,BASAMENTO UNIVERSAL DL10400,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0358,,CONTROL DE VELOCIDAD DE LOS MOTORES C.A.,CONTROL DE VELOCIDAD DE LOS MOTORES C.A. DL3309,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0362,,ELECTRODOS ESFERAS 0 250 MM.,102119,1 nombres; 3 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0385,,KIT SINAMICS- COMPUESTO 3UNIDADES CONTROL CU2405- 2MODULOS POTENCIA G120- 2FILTROS MOD 4MV- 2BOBINAS CHOQUE- 1MODULO FSA- 1MODULO OPERADOR G110/G120- 2MEMORIAS ALMACENAMIENTO PARAMETROS- 2 KIT CONEXION INVERSOR- 2SOFTW. MAN- 3 SOFTW. CONFIG,304033,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0391,,MEDIDOR MODULO CA NO.28-284,92257,1 nombres; 3 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0401,,MODULO DE ALIMENTACION EN CC,MODULO DE ALIMENTACION EN CC DL2555ALE,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0425,,PROTOBOARTH GL48 CON 4 PUNTAS,446373,1 nombres; 5 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0426,,PUPITRE DE MANDO TRANSPORTABLES PHYWE 07422093-220-221-222,98918,1 nombres; 3 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0428,,REDUCTORES DE PRESION-2 MANOMETROS (PRINCIPIOS/USO EN CILINDRO),2--89,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0453,,CONTACTOR 6A-220V.CON BOBINA DE 120V.3 CONTACTORES NA Y 3NC-CON CAJA METALICA DE:12X10X14 CM.18 BORNES CONEXION EXTERNA.,92455,1 nombres; 4 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0458,,MODULO CONTACTOR DC-C/W5NC Y MC-CONTACTOS DE 120V.DC-28-631,92225,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0459,,MODULO CONTACTOR MAGNETICO AC-120V-ACC/W4N0Y4 NC CONTACTORES,92228,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0460,,MODULO CRONOGRAFO RECICULAR 120 AC C/W NO-NC-CONTACTOS 28-664,92231,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0461,,MODULO DE MOTOR DE ARRANQUE POR CAPACITOR.NO.28-130,92236,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0463,,MODULO DE MOTOR DE FASE PARTIDA PERMANENTE N.28-135,92237,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0464,,MODULO DE MOTOR DEVANADO-DE ARDILLA 28-105,92234,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0465,,MODULO DE MOTOR UNIVERSAL N.28-140,92238,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0466,,MODULO DE RELE DE FALLA DE CAMPO DE DERIVACION 28-633,92227,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0467,,MODULO DE SOBRECARGA AC/DC 28-613,92221,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0468,,MODULO DE SWITCHE DE PALANCA SELECTORA C/W.2 SWITCHE SELECTORES Y 2 PALANCAS DE SWITCHE 120V.AC/DC 28-602,92219,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0469,,MODULO DE TIEMPO DEFINIDO DE RELE RETARDADOR C/W.2 RELES DE TIEMPOS RETARDADOR 120V.-AC/DC 28-619,92222,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0470,,MODULO FRENO PRONY DE LA CORRIENTE EDDY.NO.28-205,92242,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0471,,MODULO MOTOR DE ROTOR DEVANADO 28-110,92276,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0473,,MODULO RELE AC C/W RELE-DMDT 120V AC 28-662,92229,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0474,,MODULO RELE CEMF.120V-CONTACTO DC.28-632,92226,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0475,,MODULO RELE DC C/W 2 DPDT RELES 120 V-DC 28-630,92224,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0477,,MODULO RELE DE TIEMPO AJUSTABLE C/W CONTACTOR DPDT.BOBINA 28-663,92230,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0478,,MODULOS OTOR ALTERNADOR SINCRONICOS.28-102,92275,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0479,,MOTOR GENERADOR DE CD.N.28-150,92239,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0482,,TAMBOR DE MODULO CONTROLADOR 28-620,92223,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0511,,INSTRUMENTO PARA MEDIR CON LUZ-LA CORRIENTE Y LA TENSION NORMA,98924,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0581,,TABLERO DE CONTROL INDUSTRIAL SIEMENS PARA LOGO 230RCE,SIN/MODELO,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0593,,MEDIDOR DE RESISTENCIA DE TIERRA-NOS.DQ68 Y DQ69-TIPO MTA2,102144,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0625,,ESTANTE MELAMINICO 3 ESPACIOS CON PUERTA EN LA PARTE INFERIOR DE: 198CM X 90CM X 40CM,102179,1 nombres; 3 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0630,,MESAS ESPECIALES PARA COMPUTADORA TABLERO FORMICADO COLOR GRIS CON 2 TABLEROS PARA TECLADO 2 BASES DE C.P.U. 3 PASACABLES DE 230 CM X 60CM X 74CM,93004,1 nombres; 9 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0642,,SILLA ARMAZON METALICO ASIENTO Y ESPALDAR DE MADERA COROSIL NEGRO,446590,1 nombres; 5 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0643,,SILLA DE CONFERENCIA ALTA REF.S 313,377307,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0644,,SILLA ESTRUCTURA DE HIERRO TABLERO Y ASIENTO FORRADO CON COROSIL,377333,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0645,,SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON COROSIL COLOR NEGRO,262102,1 nombres; 2 modelos; revisar si deben separarse
