item_code,name,stock_total,suggested_category,matched_old_item,matched_old_name,similarity,confidence,approved_category
EQ-0668,TELEFONO CISCO MODELO 6921,1,BIEN INSTITUCIONAL,EQ-0032,PIEZA DE CONEXI N MODELO V,0.364,baja,BIEN INSTITUCIONAL
EQ-0669,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,20,BIENES SUJETOS A CONTROL,EQ-0196,BIENES SUJETOS A CONTROL/SILLA/ESTATICA/SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,0.295,baja,BIENES SUJETOS A CONTROL
EQ-0670,MESA INTELIGENTE CON SET SOCKETS DE CONSOLA DE ADMINISTRACION DE EQUIPOS DE COMUNICACIONES DIMENSIONES 2.10M X 60CM X 75CM,7,MUEBLES DE OFICINA,EQ-0631,MUEBLES DE OFICINA/MESA DE REUNION/MELAMINICO/MESA DE REUNIONES TABLERO MELAMINICO COLOR GRIS DE 160CM X 90CM,0.305,baja,MUEBLES DE OFICINA
EQ-0672,SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON TAPIZ NEGRO,1,MUEBLES DE OFICINA,EQ-0645,MUEBLES DE OFICINA/SILLA/ESTATICA/SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON COROSIL COLOR NEGRO,0.709,media,MUEBLES DE OFICINA
EQ-0673,SILLA GIRATORIA ACTIVA ESTRUCTURA METALICA Y PLASTICA ASIENTO Y ESPALDAR TAPIZADO EN YUTE VERDE 5 RUEDAS GARRUCHAS,1,MUEBLES DE OFICINA,EQ-0646,MUEBLES DE OFICINA/SILLON/GIRATORIO/SILLON EJECUTIVO ESPALDAR BAJO ESTRUCTURA METALICA Y PLASTICA ASIENTO Y ESPALDAR TAPIZADO EN YUTE NEGRO SISTEMA A GAS 5 RUEDAS GARRUCHAS,0.651,baja,MUEBLES DE OFICINA
EQ-0677,SILLA ESTRUCTURA DE TUBO CUADRADO DE 1 ASIENTO Y ESPALDAR FORRADO CON COROSIL NEGRO,1,MUEBLES DE OFICINA,EQ-0645,MUEBLES DE OFICINA/SILLA/ESTATICA/SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON COROSIL COLOR NEGRO,0.752,media,MUEBLES DE OFICINA
EQ-0678,SILLA SIN CODERAS ASIENTO Y ESPALDAR TAPIZADOS EN DAMASCO AZUL CON PORTA LIBROS EN LA PARTE INFERIOR,1,BIENES SUJETOS A CONTROL,EQ-0196,BIENES SUJETOS A CONTROL/SILLA/ESTATICA/SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,0.375,baja,BIENES SUJETOS A CONTROL
EQ-0679,SILLA APILABLE ESTRUCTURA METALICA CON CODERAS ASIENTO Y ESPALDAR TAPIZADOS EN DAMASCO COLOR VERDE,1,MUEBLES DE OFICINA,EQ-0645,MUEBLES DE OFICINA/SILLA/ESTATICA/SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON COROSIL COLOR NEGRO,0.504,baja,MUEBLES DE OFICINA
EQ-0680,SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON TAPIZ NEGRO,1,MUEBLES DE OFICINA,EQ-0645,MUEBLES DE OFICINA/SILLA/ESTATICA/SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON COROSIL COLOR NEGRO,0.709,media,MUEBLES DE OFICINA
EQ-0681,SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON TAPIZ NEGRO,1,MUEBLES DE OFICINA,EQ-0645,MUEBLES DE OFICINA/SILLA/ESTATICA/SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON COROSIL COLOR NEGRO,0.709,media,MUEBLES DE OFICINA
EQ-0682,SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON TAPIZ NEGRO,1,MUEBLES DE OFICINA,EQ-0645,MUEBLES DE OFICINA/SILLA/ESTATICA/SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON COROSIL COLOR NEGRO,0.709,media,MUEBLES DE OFICINA
EQ-0683,SILLA ALTA RECLINABLE EJECUTIVA CON BRAZOSBASE DE CINCO PUNTAS CON GARRUCHAS SISTEMA A GAS PARA REGULACION DE ALTURA ASIENTO Y ESPALDAR TAPIZADO EN CUERINA NEGRA 11,1,MUEBLES DE OFICINA,EQ-0646,MUEBLES DE OFICINA/SILLON/GIRATORIO/SILLON EJECUTIVO ESPALDAR BAJO ESTRUCTURA METALICA Y PLASTICA ASIENTO Y ESPALDAR TAPIZADO EN YUTE NEGRO SISTEMA A GAS 5 RUEDAS GARRUCHAS,0.396,baja,MUEBLES DE OFICINA
EQ-0684,UPS 550VA MARCA APC MODELO BE550G LM SERIE NO 4B1217P40957,1,BIENES SUJETOS A CONTROL,EQ-0211,BIENES SUJETOS A CONTROL/UPS/UPS 550VA MARCA APC MODELO BE550G LM,0.555,baja,BIENES SUJETOS A CONTROL
EQ-0705,SILLA ESTRUCTURA METALICA GRIS ASIENTO Y ESPALDAR TAPIZADOS EN TELA AZUL,1,BIENES SUJETOS A CONTROL,EQ-0196,BIENES SUJETOS A CONTROL/SILLA/ESTATICA/SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,0.508,baja,BIENES SUJETOS A CONTROL
EQ-0706,SILLA ESTRUCTURA METALICA GRIS ASIENTO Y ESPALDAR TAPIZADOS EN TELA AZUL,1,BIENES SUJETOS A CONTROL,EQ-0196,BIENES SUJETOS A CONTROL/SILLA/ESTATICA/SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,0.508,baja,BIENES SUJETOS A CONTROL
EQ-0707,SILLA ESTRUCTURA METALICA GRIS ASIENTO Y ESPALDAR TAPIZADOS EN TELA AZUL,1,BIENES SUJETOS A CONTROL,EQ-0196,BIENES SUJETOS A CONTROL/SILLA/ESTATICA/SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,0.508,baja,BIENES SUJETOS A CONTROL
EQ-0708,MODULO RECTANGULAR CON PEDESTALES METALICOS TUBULARES CON REGULADORES DE PISO DE: 70 CM X 50 CM X 72 CM DE ALTO,1,MUEBLES DE OFICINA,EQ-0630,MUEBLES DE OFICINA/MESA DE COMPUTADORA/MESAS ESPECIALES PARA COMPUTADORA TABLERO FORMICADO COLOR GRIS CON 2 TABLEROS PARA TECLADO 2 BASES DE C P U 3 PASACABLES DE 230 CM X 60CM X 74CM,0.325,baja,MUEBLES DE OFICINA
EQ-0709,MODULO RECTANGULAR CON PEDESTALES METALICOS TUBULARES CON REGULADORES DE PISO DE: 70 CM X 50 CM X 72 CM DE ALTO,1,MUEBLES DE OFICINA,EQ-0630,MUEBLES DE OFICINA/MESA DE COMPUTADORA/MESAS ESPECIALES PARA COMPUTADORA TABLERO FORMICADO COLOR GRIS CON 2 TABLEROS PARA TECLADO 2 BASES DE C P U 3 PASACABLES DE 230 CM X 60CM X 74CM,0.325,baja,MUEBLES DE OFICINA
EQ-0710,MODULO RECTANGULAR CON PEDESTALES METALICOS TUBULARES CON REGULADORES DE PISO DE: 70 CM X 50 CM X 72 CM DE ALTO,1,MUEBLES DE OFICINA,EQ-0630,MUEBLES DE OFICINA/MESA DE COMPUTADORA/MESAS ESPECIALES PARA COMPUTADORA TABLERO FORMICADO COLOR GRIS CON 2 TABLEROS PARA TECLADO 2 BASES DE C P U 3 PASACABLES DE 230 CM X 60CM X 74CM,0.325,baja,MUEBLES DE OFICINA
EQ-0711,MODULO RECTANGULAR CON PEDESTALES METALICOS TUBULARES CON REGULADORES DE PISO DE: 70 CM X 50 CM X 72 CM DE ALTO,1,MUEBLES DE OFICINA,EQ-0630,MUEBLES DE OFICINA/MESA DE COMPUTADORA/MESAS ESPECIALES PARA COMPUTADORA TABLERO FORMICADO COLOR GRIS CON 2 TABLEROS PARA TECLADO 2 BASES DE C P U 3 PASACABLES DE 230 CM X 60CM X 74CM,0.325,baja,MUEBLES DE OFICINA
EQ-0712,SILLA ESTRUCTURA DE TUBO CUADRADO DE 1 CON ASIENTO Y ESPALDAR DE MADERA CONTRACHAPADA DE 15MM.TAPIZADO CON EXPANDIBLE NEGRO,1,BIENES SUJETOS A CONTROL,EQ-0192,BIENES SUJETOS A CONTROL/PUPITRE/MIXTO/PUPITRE ESTRUCTURA DE TUBO CUADRADO DE 1 CON ASIENTO Y ESPALDAR DE MADERA CONTRACHAPADA DE 12 MM CON TABLERO LAMINA DE TOOL 1/16,0.586,baja,BIENES SUJETOS A CONTROL
EQ-0713,SILLA ESTRUCTURA DE TUBO CUADRADO DE 1 CON ASIENTO Y ESPALDAR DE MADERA CONTRACHAPADA DE 15MM.TAPIZADO CON EXPANDIBLE NEGRO,1,BIENES SUJETOS A CONTROL,EQ-0192,BIENES SUJETOS A CONTROL/PUPITRE/MIXTO/PUPITRE ESTRUCTURA DE TUBO CUADRADO DE 1 CON ASIENTO Y ESPALDAR DE MADERA CONTRACHAPADA DE 12 MM CON TABLERO LAMINA DE TOOL 1/16,0.586,baja,BIENES SUJETOS A CONTROL
